attention,partyid,education,age,postalcode,income,control_income,control_amount_income,treat_average_income,treat_average_amount_income,treat_suppose_income,treat_suppose_amount_income,control_original,control_amount,treat_average,treat_average_amount,treat_suppose,treat_suppose_amount,treatment_income,control_response,control_amount_response,treatment1_response,treatment1_amount_response,treatment2_response,treatment2_amount_response,treatment_response,control,treatment1,treatment2,treatment,yhat,caseid
1,Democratic,college,33,617,50k,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1
1,Independent,college,30,913,50k,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,2
1,Republican,college,36,430,50k,NA,NA,1,100,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,100,NA,NA,1,0,1,0,1,1,3
1,Democratic,graduate,24,100,50k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,4
1,Independent,college,33,585,50k,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,5
1,Republican,college,36,180,50k,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,6
1,Republican,graduate,55,802,50k,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,7
1,Independent,college,32,912,50k,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,8
1,Republican,graduate,44,152,50k,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,9
1,Independent,college,64,133,50k,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,10
1,Democratic,college,31,917,50k,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,11
1,Independent,graduate,61,78,50k,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,12
1,Independent,college,60,151,20k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,13
1,Independent,college,47,60,20k,NA,NA,NA,NA,1,50,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,50,1,0,0,1,1,1,14
1,Republican,college,40,201,100k,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,15
1,Independent,graduate,47,344,50k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,16
1,Republican,graduate,43,410,50k,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,17
1,Independent,graduate,46,430,50k,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,18
1,Democratic,college,44,917,50k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,19
1,Democratic,college,59,10,50k,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,20
1,Independent,graduate,53,640,50k,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,21
1,Republican,college,31,62,50k,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,22
1,Democratic,graduate,32,601,50k,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,23
1,Democratic,graduate,31,900,20k,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,24
1,Republican,college,29,891,20k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,25
1,Democratic,graduate,34,551,20k,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,26
1,Democratic,college,28,980,100k,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,27
1,Independent,graduate,53,548,100k,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,28
1,Democratic,graduate,30,21,100k,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,29
1,Democratic,college,37,945,100k,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,30
1,Democratic,college,34,553,50k,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,31
1,Republican,college,51,64,20k,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,32
1,Republican,college,44,115,20k,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,33
1,Democratic,graduate,68,337,20k,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,34
1,Republican,graduate,66,357,20k,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,35
1,Republican,graduate,28,871,50k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,36
1,Republican,graduate,49,21,50k,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,37
1,Republican,graduate,77,452,50k,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,NA,0,NA,NA,1,20,NA,NA,1,0,1,0,1,1,38
1,Republican,college,43,305,50k,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,39
1,Democratic,graduate,27,212,100k,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,40
1,Democratic,college,44,496,20k,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,41
1,Democratic,graduate,39,919,20k,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,42
1,Independent,college,26,120,20k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,43
1,Republican,graduate,32,200,20k,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,44
1,Democratic,college,30,220,20k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,45
1,Democratic,graduate,42,452,20k,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,46
1,Republican,college,36,180,20k,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,47
1,Democratic,graduate,33,112,20k,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,48
1,Democratic,college,39,190,20k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,49
1,Democratic,college,48,641,20k,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,15,NA,NA,NA,NA,NA,1,0,0,0,1,50
1,Republican,college,25,307,20k,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,51
1,Democratic,college,36,857,100k,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,52
1,Democratic,college,31,113,100k,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,53
1,Democratic,graduate,40,488,50k,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,1,0,1,0,54
1,Independent,college,34,703,50k,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,55
1,Democratic,graduate,30,802,50k,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,56
1,Democratic,graduate,40,857,20k,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,57
1,Democratic,graduate,25,631,20k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,58
0,Republican,graduate,58,736,20k,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,59
1,Independent,college,24,30,20k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,60
1,Democratic,college,33,617,20k,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,61
1,Democratic,graduate,37,331,20k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50,0,NA,NA,NA,NA,1,50,1,0,0,1,1,1,62
1,Republican,college,41,300,20k,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,0,NA,NA,1,10,NA,NA,1,0,1,0,1,1,63
1,Democratic,college,37,321,20k,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,64
